0, 0 3 0 6.09 1 7 8 2;
1, 0 3 0 15. 1 7 8 2;
2, 0 3 0 0.88 1 7 8 2;
3, 0 3 0 5070. 1 7 8 2;
4, 0 3 0 5. 1 7 8 2;
5, 0 3 0 10. 1 49 8 2;
6, 0 0 0 5.07 1 40 8 3;
7, 0 0 0 0.88 1 40 8 3;
8, 2 15 0 3.333 1 40 8 3;
9, 0 0 0 6. 1 50 8 3;
10, 0 0 0 6.055 1 50 8 4;
11, 0 0 0 6.065 1 50 8 4;
12, 0 0 0 6.075 1 50 8 4;
13, 0 0 0 6.09 1 50 8 4;
14, 2 14 0 3.9717 1 50 0 4;
15, 2 14 0 3.9717 1 50 0 4;
16, 1 14 0 3.4878 1 50 0 4;
17, 0 0 0 3.333 1 50 0 4;
18, 0 0 0 3.21 1 50 0 4;
19, 1 14 0 3.1665 1 50 0 4;
20, 1 14 0 3.135 1 50 0 4;
21, 1 14 0 2.846 1 50 0 4;
22, 1 14 0 2.791 1 50 0 4;
23, 1 14 0 2.577 1 50 0 4;
24, 1 14 0 2.576 1 50 0 4;
25, 1 14 0 2.472 1 50 0 4;
26, 1 14 0 2.398 1 50 0 4;
27, 0 0 0 1.68 1 50 0 4;
28, 0 0 0 0.77 1 50 0 4;
29, 1 10 0 9.032 1 49 0 6;
30, 1 10 0 9.218 1 49 0 6;
31, 0 0 0 9.655 1 49 0 6;
32, 0 0 0 15.085 1 51 0 16;
33, 0 0 0 15.105 1 51 0 16;
34, 0 0 0 15.11 1 51 0 16;
35, 0 0 0 15.17 1 51 0 16;
36, 0 0 0 15.205 1 51 0 16;
37, 0 0 0 15.225 1 51 0 16;
38, 0 0 0 15.425 1 51 0 16;
39, 0 0 0 15.435 1 51 0 16;
40, 0 0 0 15.455 1 51 0 16;
41, 0 0 0 15.59 1 51 0 16;
42, 0 0 0 15.745 1 51 0 16;
43, 0 0 0 15.825 1 51 0 16;
44, 0 0 0 17.5 1 51 0 16;
45, 0 0 0 17.535 1 51 0 16;
46, 0 0 0 17.545 1 51 0 16;
47, 0 0 0 17.56 1 51 0 16;
48, 0 0 0 17.57 1 51 0 16;
49, 0 0 0 17.584999 1 51 0 16;
50, 0 0 0 17.785 1 51 0 17;
51, 0 0 0 17.86 1 51 0 17;
52, 1 12 0 17.365 1 51 0 17;
53, 1 12 0 17.374002 1 51 0 17;
54, 0 0 0 17.513 1 51 0 17;
55, 0 0 0 17.525 1 51 0 17;
56, 0 0 0 17.535 1 51 0 17;
57, 0 0 0 17.57 1 51 0 17;
58, 0 0 0 17.605 1 51 0 17;
59, 0 0 0 17.66 1 51 0 17;
60, 0 0 0 1.52 1 44 8 4;
61, 0 0 0 0.77 1 44 8 4;
62, 0 0 0 0.68 1 44 8 4;
63, 1 9 0 2.3983 1 44 8 5;
64, 0 0 0 3.215 1 44 8 5;
65, 0 0 0 3.33 1 44 8 5;
66, 1 10 0 3.4884 1 44 8 5;
67, 0 0 0 5.07 1 44 8 5;
68, 0 0 0 9.985 1 44 8 5;
69, 0 0 0 5.765 1 44 8 5;
70, 0 0 0 3.215 1 44 8 5;
71, 0 0 0 5.975 1 44 8 5;
72, 2 10 0 4.7047 1 44 8 5;
73, 1 10 0 4.67846 1 44 8 5;
74, 1 10 0 4.549 1 44 8 5;
75, 1 10 0 4.3498 1 44 8 5;
76, 1 10 0 4.2849 1 44 8 5;
77, 1 10 0 4.2741 1 44 8 5;
78, 1 10 0 4.2732 1 44 8 5;
79, 1 10 0 4.018 1 44 8 5;
80, 1 10 0 3.4884 1 44 8 5;
81, 0 0 0 3.185 1 44 8 5;
82, 0 0 0 2.5 1 44 8 5;
